S.NAME G.ID ID CHR P0 P1 BLOCK TWAS.Z BF PIP
TCGA.PRAD.TUMOR GRHL3 GRHL3 1 24600000 24700000 20 -6.11962 9510003.22524315 0.994602757862086
GTEx.Thyroid ANP32E ANP32E 1 1.5e+08 1.5e+08 98 -5.314818 132625.510182558 0.988865999277465
GTEx.Heart_Atrial_Appendage CTSK CTSK 1 1.51e+08 1.51e+08 99 7.43858 38370233022.867 0.962711027640971
NTR.BLOOD.RNAARR TPM3 TPM3 1 1.54e+08 1.54e+08 102 7.2719 12291155762.3574 0.0364988628166074
YFS.BLOOD.RNAARR CRTC2 CRTC2 1 1.54e+08 1.54e+08 102 -7.73166 302336270874.096 0.897794339968712
GTEx.Brain_Cerebellar_Hemisphere DCST2 DCST2 1 1.55e+08 1.55e+08 103 -7.38375 26310105335.9843 0.9733880733758
GTEx.Testis PIK3C2B PIK3C2B 1 2.04e+08 2.04e+08 142 -9.5588 708950632655795456 0.949748008872836
GTEx.Esophagus_Muscularis RP11-430C7.5 RP11-430C7.5 1 2.05e+08 2.05e+08 143 7.4761 49754240835.1299 0.999999900839056
GTEx.Artery_Tibial RAB7L1 RAB7L1 1 2.06e+08 2.06e+08 144 -5.973209 4180018.16948629 0.0141326826810798
GTEx.Stomach NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 5.9759 4242890.35596575 0.014345254164014
GTEx.Brain_Cerebellum NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 5.986559 4501653.61000313 0.0152201352794909
GTEx.Brain_Caudate_basal_ganglia NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 -6.0033 4941343.52017925 0.0167067312048276
GTEx.Heart_Atrial_Appendage RAB7L1 RAB7L1 1 2.06e+08 2.06e+08 144 -6.11757 9399881.03245935 0.0317810905324306
GTEx.Cells_Transformed_fibroblasts RAB7L1 RAB7L1 1 2.06e+08 2.06e+08 144 -6.13249 10232356.9436783 0.0345956998034584
CMC.BRAIN.RNASEQ RAB7L1 RAB7L1 1 2.06e+08 2.06e+08 144 -6.15716 11779016.9263681 0.0398249724679753
YFS.BLOOD.RNAARR NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 6.19764 14857716.5474882 0.0502340862687888
GTEx.Pancreas NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 6.23914 18880874.2162271 0.0638364220488812
GTEx.Testis NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 6.2604 21360188.7681641 0.0722190090158214
GTEx.Thyroid NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 6.279133 23821558.5462719 0.080540924525359
METSIM.ADIPOSE.RNASEQ NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 6.3 26908999.3026934 0.0909795921908874
GTEx.Esophagus_Mucosa NUCKS1 NUCKS1 1 2.06e+08 2.06e+08 144 6.33317 32688263.7605119 0.110519342354803
YFS.BLOOD.RNAARR RAB7L1 RAB7L1 1 2.06e+08 2.06e+08 144 -6.36323 39025391.8280819 0.131945234888505
GTEx.Nerve_Tibial SLC41A1 SLC41A1 1 2.06e+08 2.06e+08 144 -6.38147 43473080.5704389 0.146982914417938
TCGA.PRAD.TUMOR GRHL1 GRHL1 2 10100000 10100000 188 -6.08633 7874960.59308089 0.0889197574231017
GTEx.Esophagus_Mucosa GRHL1 GRHL1 2 10100000 10100000 188 6.111311 9071706.02341785 0.102432753723841
TCGA.PRAD_SP.TUMOR GRHL1 chr2:10101565:10102584 2 10100000 10100000 188 -6.13255 10235853.6198695 0.115577673073929
GTEx.Skin_Sun_Exposed_Lower_leg GRHL1 GRHL1 2 10100000 10100000 188 6.17326 12916293.9530987 0.145843742522867
TCGA.PRAD_SP.TUMOR GRHL1 chr2:10136098:10136444 2 10100000 10100000 188 -6.39266 46456113.7497022 0.524557084015507
TCGA.PRAD_SP.TUMOR NOL10 chr2:10824738:10829922 2 10800000 10800000 189 7.22308 8849230722.38463 0.132253178351578
CMC.BRAIN.RNASEQ NOL10 NOL10 2 10700000 10800000 189 -7.49803 57948755016.7857 0.866053476614704
GTEx.Stomach C2orf43 C2orf43 2 20900000 2.1e+07 195 -7.992681 2032753118046.14 0.910739812371296
GTEx.Testis HAAO HAAO 2 4.3e+07 4.3e+07 211 -5.84292 2045295.61879175 0.959704210175103
GTEx.Esophagus_Mucosa EHBP1 EHBP1 2 62900000 63300000 223 10.468074 3.32968969369614e+21 0.999057802676847
GTEx.Esophagus_Mucosa AC009501.4 AC009501.4 2 63300000 63300000 224 10.746679 5.17827283256163e+22 0.999717827451322
GTEx.Brain_Caudate_basal_ganglia ACA59 ACA59 2 64100000 64100000 225 -6.2459 19635411.6573829 0.105144922289968
METSIM.ADIPOSE.RNASEQ UGP2 UGP2 2 64100000 64100000 225 6.6023 164571423.580048 0.881257283799669
GTEx.Cells_EBV-transformed_lymphocytes GGCX GGCX 2 85800000 85800000 237 -10.20985 2.79098284274941e+20 0.466958925658395
GTEx.Brain_Nucleus_accumbens_basal_ganglia GGCX GGCX 2 85800000 85800000 237 -10.2137 2.89475622748588e+20 0.484321235274294
